codigo;nome
X326;KRAHO KANELA
X327;KULINA
X328;LATUNDE
X329;MAKU
X330;MAKUNAMBE
X331;MAMAINDE
X332;MAMURI
X333;MANACAPURU
X334;MANAIRISSU
X335;MANCHINERI
X336;MANDUCA
X337;MARIBONDO
X338;MASSAKA
X339;MAWAYANA
X340;MAWE
X341;MAYORUNA
X342;MIQUELENO
X343;MOKURI
X344;MON ORO WARAM
X345;MUTUM
X346;MYKY
X347;NADEB
X348;NAMBIKWARA
X349;NEGAROTE
X350;NHENGATU
X351;OFAIE XAVANTE
X352;ONCA
X353;ORO AT
X354;ORO EO
X355;ORO JOWIN
X356;ORO MIYLIN
X357;ORO MON
X358;ORO NAO
X359;ORO WAM
X360;ORO WARAM
X361;ORO WARAM XIJEIN
X362;PACA
X363;PANKARA
X364;PAPAGAIO
X365;PAYAYA
X366;PIPIPAN
X367;PIRATA
X368;PUROBORA
X369;SABANE
X370;SANUMA
X371;SAWENTESU
X372;SILCY-TAPUYA
X373;SIUCI
X374;TABAJARA
X375;TAKUARA
X376;TATU
X377;TAWANDE
X378;TEFE
X379;TIMBIRA
X380;TORA DO BAIXO GRANDE
X381;TSUNHUM-DJAPA
X382;TUBARAO
X383;TUPAIU
X384;TUPI
X385;TUPINAMBA DE BELMONTE
X386;URUBU
X387;URUBU KAAPOR
X388;URUPA
X389;WAI WAI
X390;WAIKISU
X391;WAKALITESU
X392;WASSUSU
X393;XEREU
X394;XI EIN
X395;XICRIN
X396;XIPAYA
X397;XIRIANA
X398;XIRUAI
X399;YEPAMASSA
X400;TIRIYO
X401;YANOMAMI
X402;ARARA
X403;SAKIRIABAR
X404;TATZ
X406;ARARA VERMELHA
X407;BORAR
X408;JARAQU
X409;TAPAJO
X410;ARAPYU
X411;KUMARUARA
